,Name,Weapon Type,Archetype,Rarity,Optimal TTK,Bodyshot TTK,Usage,Impact,Range,Stability,Handling,Reload Speed,Rounds Per Minute,Magazine,Aim Assistance,Zoom,Recoil Direction,Blast Radius,Velocity,Charge Time,Accuracy,Draw Time,Swing Speed,Efficiency,Defense,Ammo Capacity,Perk 1 Init,Perk 1 Rolls Hash,Perk 1 Rolls,Perk 1 is Intrinsic,Perk 2 Init,Perk 2 Rolls Hash,Perk 2 Rolls,Perk 2 is Intrinsic,Perk 3 Init,Perk 3 Rolls Hash,Perk 3 Rolls,Perk 3 is Intrinsic,Perk 4 Init,Perk 4 Rolls Hash,Perk 4 Rolls,Perk 4 is Intrinsic
235,Classical-42,Rocket Launcher,Adaptive Frame,Legendary,0.0,0.0,,,,49.0,44.0,44.0,20.0,1.0,61.0,20.0,51.0,75.0,57.0,,,,,,,,Quick Launch,,,True,Alloy Casing,,,True,Cluster Bomb,,,True,Solar Damage Mod,,,False
236,Annual Skate,Hand Cannon,Adaptive Frame,Legendary,0.87,1.73,,84.0,46.0,54.0,52.0,44.0,140.0,10.0,75.0,14.0,88.0,,,,,,,,,,Fastdraw HCS,,,True,Steady Rounds,,,True,Outlaw,,,True,Solar Damage Mod,,,False
237,Shattered Peace,Hand Cannon,Lightweight Frame,Legendary,0.8,1.6,,80.0,40.0,42.0,69.0,60.0,150.0,12.0,84.0,14.0,89.0,,,,,,,,,,TrueSight HCS,,,True,High-Caliber Rounds,,,True,Zen Moment,,,True,Arc Damage Mod,,,False
238,Countess SA/2,Rocket Launcher,Adaptive Frame,Legendary,0.0,0.0,,,,49.0,47.0,44.0,20.0,1.0,57.0,20.0,74.0,75.0,53.0,,,,,,,,Countermass,,,True,High-Velocity Rounds,,,True,Threat Detector,,,True,Void Damage Mod,,,False
239,Apostate,Sniper Rifle,Rapid-Fire Frame,Legendary,0.0,0.43,0.29,55.0,42.0,47.0,68.0,65.0,140.0,5.0,73.0,40.0,49.0,,,,,,,,,,Fluted Barrel,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Extended Mag,22229563.0,"['Accurized Rounds', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Shield Disorient,1575733413.0,"['Outlaw', 'Moving Target', 'Firmly Planted', 'Shield Disorient', 'Rangefinder']",False,Rapid Hit,2744704843.0,"['Snapshot Sights', 'Quickdraw', 'Rapid Hit', 'Multikill Clip', 'Box Breathing']",False
240,The Long Goodbye,Sniper Rifle,Adaptive Frame,Legendary,0.0,0.67,0.243,70.0,54.0,53.0,46.0,50.0,90.0,4.0,55.0,40.0,62.0,,,,,,,,,,Polygonal Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Light Mag,591267464.0,"['Extended Mag', 'Alloy Magazine', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']",False,Rangefinder,1531241561.0,"['Outlaw', 'Firmly Planted', 'Snapshot Sights', 'High-Impact Reserves']",False,Rapid Hit,3993900529.0,"['Dragonfly', ""Fourth Time's the Charm"", 'Rampage', 'Rapid Hit']",False
241,Wicked Sister,Grenade Launcher,Adaptive Frame,Legendary,0.0,0.5,,,,43.0,46.0,47.0,120.0,5.0,70.0,13.0,64.0,30.0,40.0,,,,,,,,Countermass,,,True,High-Velocity Rounds,,,True,Auto-Loading Holster,,,True,Solar Damage Mod,,,False
242,Bellowing Giant,Rocket Launcher,Adaptive Frame,Legendary,0.0,0.0,,,,54.0,50.0,50.0,20.0,1.0,63.0,20.0,70.0,75.0,63.0,,,,,,,,Countermass,3664361537.0,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']",False,Impact Casing,929622943.0,"['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds', 'Impact Casing']",False,Tracking Module,4058291022.0,"['Tracking Module', 'Quickdraw', 'Genesis', 'Field Prep', 'Rangefinder']",False,Cluster Bomb,4215240987.0,"['Cluster Bomb', 'Ambitious Assassin', 'Auto-Loading Holster', 'Moving Target', 'Threat Detector']",False
243,Does Not Compute,Scout Rifle,High-Impact Frame,Legendary,0.8,2.0,,67.0,64.0,24.0,35.0,43.0,150.0,12.0,39.0,21.0,80.0,,,,,,,,,,,1971187269.0,"['Rifle Scope ST', 'Rifle Scope SSF', 'Cleanshot IS', 'Hitmark IS', 'Red Dot 2 MOA', 'Red Dot Micro']",False,Tactical Mag,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Zen Moment,2338289045.0,"['Hip-Fire Grip', 'Grave Robber', 'Auto-Loading Holster', 'Zen Moment', 'Moving Target', 'Triple Tap', 'High-Impact Reserves']",False,Explosive Payload,4177501165.0,"['Explosive Payload', 'Rangefinder', 'Threat Detector', 'Opening Shot', 'Outlaw', 'Rampage', 'Kill Clip']",False
244,Zealot's Reward,Fusion Rifle,Rapid-Fire Frame,Legendary,0.73,0.73,,55.0,30.0,35.0,60.0,53.0,,7.0,37.0,15.0,49.0,,,540.0,,,,,,,,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,,1760963831.0,"['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']",False,,328632300.0,"['Feeding Frenzy', 'Under Pressure', 'Shield Disorient', 'Auto-Loading Holster']",False,,2166935844.0,"['Rampage', 'High-Impact Reserves', 'Disruption Break', 'Backup Plan']",False
245,Honor's Edge,Sword,Adaptive Frame,Legendary,0.0,0.0,,62.0,46.0,,,,,60.0,,0.0,,,,,,,46.0,55.0,46.0,62.0,Tempered Edge,,,True,Burst Guard,,,True,En Garde,,,True,Arc Damage Mod,,,False
246,Lonesome,Sidearm,Precision Frame,Legendary,0.7,0.93,0.189,51.0,62.0,48.0,40.0,29.0,260.0,12.0,86.0,12.0,90.0,,,,,,,,,,Polygonal Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Extended Mag,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Overflow,2189615818.0,"['Outlaw', 'Full Auto Trigger System', 'Rapid Hit', 'Grave Robber', 'Zen Moment']",False,Swashbuckler,3904500854.0,"['Swashbuckler', 'Demolitionist', 'Kill Clip', 'Slideshot', 'Opening Shot', 'Multikill Clip']",False
247,Parcel of Stardust,Shotgun,Lightweight Frame,Legendary,0.0,0.77,0.473,65.0,51.0,45.0,71.0,60.0,80.0,6.0,52.0,12.0,53.0,,,,,,,,,,Full Choke,1571809010.0,"['Rifled Barrel', 'Smoothbore', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Full Choke']",False,Assault Mag,2070940234.0,"['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']",False,Opening Shot,2751950525.0,"['Slideshot', 'Threat Detector', 'Opening Shot', 'Full Auto Trigger System', 'Snapshot Sights']",False,Quickdraw,156881207.0,"['Rampage', 'Outlaw', 'Moving Target', 'Auto-Loading Holster', 'Pulse Monitor']",False
248,Maestro-46,Sniper Rifle,Aggressive Frame,Legendary,0.0,0.83,,90.0,75.0,25.0,32.0,37.0,72.0,3.0,43.0,43.0,60.0,,,,,,,,,,SSO-05 Sniper,,,True,Accurized Rounds,,,True,Triple Tap,,,True,Void Damage Mod,,,False
249,Belfry Bounty,Sniper Rifle,Adaptive Frame,Legendary,0.0,0.67,,70.0,49.0,43.0,44.0,46.0,90.0,4.0,63.0,40.0,52.0,,,,,,,,,,Zoom 30 Focus,,,True,Extended Mag,,,True,Auto-Loading Holster,,,True,Arc Damage Mod,,,False
250,Imperative,Scout Rifle,High-Impact Frame,Legendary,0.8,2.0,,67.0,68.0,28.0,30.0,37.0,150.0,13.0,33.0,21.0,80.0,,,,,,,,,,,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,,3536233662.0,"['No Distractions', 'Triple Tap', 'Eye of the Storm', 'Subsistence', 'Field Prep', 'Outlaw']",False,,2760337306.0,"['Explosive Payload', 'Rampage', 'Multikill Clip', 'Rangefinder', 'Snapshot Sights', 'Opening Shot']",False
251,Gunnora's Axe,Shotgun,Precision Frame,Legendary,0.0,0.93,0.357,70.0,70.0,54.0,68.0,53.0,65.0,6.0,34.0,12.0,51.0,,,,,,,,,,Fluted Barrel,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Accurized Rounds,2070940234.0,"['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']",False,Outlaw,1769815133.0,"['Outlaw', 'Threat Detector', 'Field Prep', 'Full Auto Trigger System', 'Pulse Monitor', 'Quickdraw', 'Auto-Loading Holster']",False,Opening Shot,3750993113.0,"['Rampage', 'Triple Tap', 'Snapshot Sights', 'Moving Target', 'Slideshot', 'Opening Shot', 'Demolitionist', 'Swashbuckler']",False
252,Drang,Sidearm,Adaptive Frame,Legendary,0.6,1.0,,49.0,42.0,64.0,74.0,37.0,300.0,18.0,70.0,14.0,80.0,,,,,,,,,,Smallbore,,,True,Rampage,,,True,Together Forever,,,True,Solar Damage Mod,,,False
253,Calusea Noblesse,Scout Rifle,High-Impact Frame,Legendary,0.8,2.0,,67.0,75.0,30.0,36.0,38.0,150.0,14.0,32.0,21.0,75.0,,,,,,,,,,Arrowhead Brake,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Tactical Mag,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Fourth Time's the Charm,1379996357.0,"['Outlaw', 'Subsistence', 'Disruption Break', 'Ambitious Assassin', 'Zen Moment', 'Moving Target']",False,Full Auto Trigger System,1877867761.0,"['Multikill Clip', 'Rampage', 'Shield Disorient', 'Rangefinder', 'Dragonfly']",False
254,Sacred Provenance,Pulse Rifle,Aggressive Burst,Legendary,0.73,1.6,0.379,35.0,72.0,61.0,32.0,42.0,450.0,41.0,48.0,18.0,70.0,,,,,,,,,,Hammer-Forged Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Appended Mag,591267464.0,"['Extended Mag', 'Alloy Magazine', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']",False,,787011061.0,"['Rangefinder', 'Full Auto Trigger System', 'Rapid Hit', 'Outlaw']",False,,4053663131.0,"['Headseeker', 'Kill Clip', 'Snapshot Sights', 'Quickdraw']",False
255,New City,Submachine Gun,Adaptive Frame,Legendary,0.73,0.93,,20.0,49.0,49.0,57.0,53.0,900.0,33.0,45.0,13.0,81.0,,,,,,,,,,IS 5 Circle,,,True,Tactical Mag,,,True,Quickdraw,,,True,Kinetic Damage Mod,,,False
256,Atalanta-D,Submachine Gun,Precision Frame,Legendary,0.8,1.13,,25.0,52.0,45.0,31.0,27.0,600.0,27.0,54.0,13.0,82.0,,,,,,,,,,GA Post,,,True,Extended Mag,,,True,Tap the Trigger,,,True,Kinetic Damage Mod,,,False
257,Austringer,Hand Cannon,Adaptive Frame,Legendary,0.87,1.73,0.372,84.0,51.0,63.0,52.0,51.0,140.0,11.0,75.0,14.0,95.0,,,,,,,,,,Corkscrew Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Tactical Mag,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Outlaw,3149077540.0,"['Outlaw', 'Subsistence', 'Air Assault', 'Eye of the Storm', 'Triple Tap', 'Snapshot Sights']",False,Rangefinder,1255098166.0,"['Rangefinder', 'Demolitionist', 'Rampage', 'Underdog', 'Zen Moment', 'Opening Shot']",False
258,Rose,Hand Cannon,Lightweight Frame,Legendary,0.8,1.6,0.521,80.0,44.0,46.0,71.0,60.0,150.0,11.0,85.0,14.0,95.0,,,,,,,,,,Chambered Compensator,,,True,Accurized Rounds,,,True,Outlaw,,,True,Polymer Grip,,,True
259,Atalanta-D XG1992,Submachine Gun,Precision Frame,Legendary,0.8,1.13,,25.0,52.0,45.0,31.0,27.0,600.0,27.0,54.0,13.0,82.0,,,,,,,,,,GA Post,3131312848.0,"['GA Post', 'GB Iron', 'SD Thermal', 'SC Holo']",False,Extended Mag,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Tap the Trigger,47524552.0,"['Pulse Monitor', 'Under Pressure', 'Slideways', 'Field Prep', 'Zen Moment', 'Snapshot Sights', 'Moving Target']",False,,860261492.0,"['Dynamic Sway Reduction', 'Kill Clip', 'High-Impact Reserves', 'Grave Robber', 'Tap the Trigger', 'Auto-Loading Holster', 'Threat Detector']",False
260,The Quickstep,Submachine Gun,Adaptive Frame,Legendary,0.73,0.93,,20.0,44.0,49.0,55.0,53.0,900.0,28.0,47.0,13.0,91.0,,,,,,,,,,SLO-21 Post,,,True,Steady Rounds,,,True,Dynamic Sway Reduction,,,True,Solar Damage Mod,,,False
261,Quitclaim Shotgun III,Shotgun,Aggressive Frame,Legendary,0.0,1.1,,80.0,29.0,29.0,30.0,38.0,55.0,5.0,30.0,12.0,41.0,,,,,,,,,,Rifled Barrel,,,True,Flared Magwell,,,True,Field Prep,,,True,Void Damage Mod,,,False
262,Nox Echo III,Fusion Rifle,Adaptive Frame,Legendary,0.87,0.87,,70.0,38.0,48.0,36.0,38.0,,6.0,62.0,15.0,63.0,,,660.0,,,,,,,Cleanshot IS,,,True,Liquid Coils,,,True,Hip-Fire Grip,,,True,Arc Damage Mod,,,False
263,Shock and Awe,Fusion Rifle,High-Impact Frame,Legendary,1.0,1.0,,95.0,49.0,32.0,27.0,24.0,,5.0,59.0,15.0,80.0,,,860.0,,,,,,,Spark PS,,,True,Particle Repeater,,,True,Backup Plan,,,True,Void Damage Mod,,,False
264,Cartesian Coordinate,Fusion Rifle,Rapid-Fire Frame,Legendary,0.73,0.73,,55.0,29.0,33.0,55.0,51.0,,7.0,60.0,15.0,52.0,,,540.0,,,,,,,Quickdraw IS,,,True,Accelerated Coils,,,True,Auto-Loading Holster,,,True,Solar Damage Mod,,,False
265,Tarantula,Linear Fusion Rifle,Precision Frame,Legendary,0.53,1.07,,41.0,60.0,43.0,32.0,31.0,,6.0,58.0,25.0,65.0,,,533.0,,,,,,,Hammer-Forged Rifling,,,True,Particle Repeater,,,True,Snapshot Sights,,,True,Arc Damage Mod,,,False
266,Ghost Primus,Auto Rifle,Adaptive Frame,Legendary,0.7,1.2,,21.0,53.0,42.0,64.0,55.0,600.0,44.0,70.0,16.0,60.0,,,,,,,,,,Arrowhead Brake,,,True,High-Impact Reserves,,,True,Under Pressure,,,True,Kinetic Damage Mod,,,False
267,Purpose,Scout Rifle,Lightweight Frame,Legendary,0.9,1.8,,60.0,42.0,50.0,72.0,60.0,200.0,16.0,72.0,20.0,60.0,,,,,,,,,,Extended Barrel,,,True,Slideshot,,,True,Explosive Payload,,,True,Kinetic Damage Mod,,,False
268,Scipio-D,Rocket Launcher,High-Impact Frame,Legendary,0.0,0.0,,,,60.0,66.0,39.0,15.0,1.0,68.0,20.0,55.0,95.0,48.0,,,,,,,,Linear Compensator,,,True,Black Powder,,,True,Auto-Loading Holster,,,True,Solar Damage Mod,,,False
269,The Mornin' Comes,Sniper Rifle,Adaptive Frame,Legendary,0.0,0.67,,70.0,50.0,47.0,47.0,45.0,90.0,4.0,61.0,40.0,74.0,,,,,,,,,,Corvo SS2,,,True,Drop Mag,,,True,Outlaw,,,True,Void Damage Mod,,,False
270,Death Adder,Submachine Gun,Lightweight Frame,Legendary,0.67,0.67,,15.0,36.0,42.0,64.0,33.0,900.0,37.0,55.0,13.0,95.0,,,,,,,,,,Smallbore,,,True,Steady Rounds,,,True,Hip-Fire Grip,,,True,Solar Damage Mod,,,False
271,Apex Predator,Rocket Launcher,Adaptive Frame,Legendary,0.0,0.0,,,,49.0,50.0,50.0,20.0,1.0,68.0,20.0,61.0,75.0,54.0,,,,,,,,Quick Launch,3664361537.0,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']",False,High-Velocity Rounds,377058578.0,"['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds', 'Impact Casing']",False,Snapshot Sights,1779624188.0,"['Tracking Module', 'Genesis', 'Ambitious Assassin']",False,Cluster Bomb,1875301120.0,"['Kill Clip', 'Auto-Loading Holster', 'Snapshot Sights']",False
272,Antiope-D,Submachine Gun,Precision Frame,Legendary,0.8,1.13,,25.0,63.0,39.0,26.0,27.0,600.0,26.0,58.0,13.0,90.0,,,,,,,,,,GB Iron,3131312848.0,"['GA Post', 'GB Iron', 'SD Thermal', 'SC Holo']",False,Ricochet Rounds,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Kill Clip,47524552.0,"['Pulse Monitor', 'Under Pressure', 'Slideways', 'Field Prep', 'Zen Moment', 'Snapshot Sights', 'Moving Target']",False,,860261492.0,"['Dynamic Sway Reduction', 'Kill Clip', 'High-Impact Reserves', 'Grave Robber', 'Tap the Trigger', 'Auto-Loading Holster', 'Threat Detector']",False
273,Kindled Orchid,Hand Cannon,Adaptive Frame,Legendary,0.87,1.73,0.327,84.0,45.0,56.0,47.0,49.0,140.0,10.0,76.0,14.0,99.0,,,,,,,,,,Corkscrew Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Drop Mag,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Kill Clip,790073928.0,"['Outlaw', 'Kill Clip', 'Rangefinder', 'Triple Tap', 'Quickdraw', 'Surrounded', 'Shield Disorient']",False,Rampage,2984014154.0,"['Rapid Hit', 'Rampage', 'Ambitious Assassin', 'Explosive Payload', 'Threat Detector', 'Disruption Break']",False
274,Imminent Storm,Submachine Gun,Aggressive Frame,Legendary,0.67,1.0,,22.0,41.0,36.0,53.0,28.0,750.0,28.0,32.0,13.0,95.0,,,,,,,,,,Red Dot 2 MOA,,,True,Flared Magwell,,,True,Hip-Fire Grip,,,True,Kinetic Damage Mod,,,False
275,Enigma's Draw,Sidearm,Precision Frame,Legendary,0.7,0.93,,51.0,54.0,48.0,39.0,28.0,260.0,12.0,86.0,12.0,90.0,,,,,,,,,,Control SAS,,,True,High-Caliber Rounds,,,True,Zen Moment,,,True,Kinetic Damage Mod,,,False
276,Haunted Earth,Scout Rifle,High-Impact Frame,Legendary,0.8,2.0,,67.0,70.0,28.0,32.0,39.0,150.0,12.0,28.0,21.0,71.0,,,,,,,,,,IS 5 Circle,,,True,Tactical Mag,,,True,Field Prep,,,True,Kinetic Damage Mod,,,False
277,Contingency Plan,Scout Rifle,VEIST Rapid-Fire,Legendary,0.93,1.4,,45.0,32.0,50.0,28.0,33.0,260.0,17.0,66.0,20.0,53.0,,,,,,,,,,Smallbore,,,True,Appended Mag,,,True,Auto-Loading Holster,,,True,Arc Damage Mod,,,False
278,Pillager,Submachine Gun,Lightweight Frame,Legendary,0.67,0.67,,15.0,39.0,48.0,73.0,37.0,900.0,37.0,57.0,13.0,97.0,,,,,,,,,,Polygonal Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,High-Caliber Rounds,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Outlaw,901303154.0,"['Outlaw', 'Tap the Trigger', 'Slideways', 'Grave Robber', 'Zen Moment']",False,Kill Clip,3341617838.0,"['Rampage', 'Kill Clip', 'High-Impact Reserves', 'Moving Target', 'Under Pressure']",False
279,Gentleman Vagabond,Sniper Rifle,Aggressive Frame,Legendary,0.0,0.83,,90.0,68.0,36.0,38.0,42.0,72.0,3.0,49.0,43.0,60.0,,,,,,,,,,9RECT Telescopic,,,True,Armor-Piercing Rounds,,,True,Dragonfly,,,True,Arc Damage Mod,,,False
280,Subjunctive,Submachine Gun,Lightweight Frame,Legendary,0.67,0.67,,15.0,33.0,43.0,69.0,35.0,900.0,36.0,52.0,13.0,92.0,,,,,,,,,,,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,,4269725644.0,"['Hip-Fire Grip', 'Pulse Monitor', 'Outlaw', 'Quickdraw', 'Threat Detector', 'Genesis']",False,,2217814212.0,"['Surrounded', 'Shield Disorient', 'Swashbuckler', 'Multikill Clip', 'Rampage', 'High-Impact Reserves']",False
281,Older Sister III,Hand Cannon,Adaptive Frame,Legendary,0.87,1.73,,84.0,48.0,47.0,52.0,40.0,140.0,11.0,61.0,14.0,90.0,,,,,,,,,,HitMark HCS,,,True,Alloy Magazine,,,True,Ambitious Assassin,,,True,Solar Damage Mod,,,False
282,Traitor's Fate,Sword,Adaptive Frame,Legendary,0.0,0.0,,62.0,46.0,,,,,60.0,,0.0,,,,,,,46.0,55.0,46.0,62.0,Enduring Blade,,,True,Burst Guard,,,True,Assassin's Blade,,,True,Arc Damage Mod,,,False
283,Trackless Waste,Submachine Gun,Adaptive Frame,Legendary,0.73,0.93,,20.0,46.0,54.0,50.0,55.0,900.0,34.0,52.0,13.0,85.0,,,,,,,,,,King Sight K1,3155028253.0,"['Wolf Sight W1', 'King Sight K1', 'Dusk Sight D1', 'Wolf Dot W2', 'King Dot K2', 'Dusk Dot D1']",False,Alloy Magazine,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Rampage,3312067899.0,"['Threat Detector', 'Tap the Trigger', 'Slideways', 'Grave Robber', 'Zen Moment', 'Quickdraw']",False,,3961045711.0,"['Dynamic Sway Reduction', 'Kill Clip', 'High-Impact Reserves', 'Outlaw', 'Under Pressure', 'Snapshot Sights']",False
284,Komodo-4FR,Linear Fusion Rifle,Precision Frame,Legendary,0.53,1.07,,41.0,43.0,49.0,32.0,32.0,,5.0,62.0,25.0,80.0,,,533.0,,,,,,,Polygonal Rifling,,,True,Accelerated Coils,,,True,No Distractions,,,True,Eye of the Storm,,,True
285,Foggy Notion,Submachine Gun,Adaptive Frame,Legendary,0.73,0.93,,20.0,47.0,50.0,56.0,49.0,900.0,34.0,48.0,13.0,91.0,,,,,,,,,,SLO-21 Post,,,True,Flared Magwell,,,True,Grave Robber,,,True,Arc Damage Mod,,,False
286,Out of Options,Submachine Gun,Lightweight Frame,Legendary,0.67,0.67,,15.0,35.0,38.0,60.0,32.0,900.0,37.0,50.0,13.0,100.0,,,,,,,,,,Spark PS,,,True,Alloy Magazine,,,True,Pulse Monitor,,,True,Solar Damage Mod,,,False
287,Somerled-D,Shotgun,Aggressive Frame,Legendary,0.0,1.1,,80.0,30.0,28.0,35.0,39.0,55.0,5.0,35.0,12.0,60.0,,,,,,,,,,Corkscrew Rifling,,,True,Tactical Mag,,,True,Threat Detector,,,True,Solar Damage Mod,,,False
288,Red Mamba,Submachine Gun,Lightweight Frame,Legendary,0.67,0.67,,15.0,32.0,41.0,68.0,37.0,900.0,36.0,53.0,13.0,92.0,,,,,,,,,,Arrowhead Brake,,,True,Steady Rounds,,,True,Tap the Trigger,,,True,Arc Damage Mod,,,False
289,Zenith of Your Kind,Shotgun,Rapid-Fire Frame,Legendary,0.0,0.43,,65.0,39.0,45.0,46.0,71.0,140.0,7.0,69.0,12.0,66.0,,,,,,,,,,Corkscrew Rifling,,,True,Pulse Monitor,,,True,Threat Detector,,,True,Void Damage Mod,,,False
290,Bygones,Pulse Rifle,Adaptive Frame,Legendary,0.93,1.4,2.86,29.0,53.0,60.0,51.0,51.0,390.0,38.0,61.0,17.0,69.0,,,,,,,,,,Arrowhead Brake,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Extended Mag,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Kill Clip,676445218.0,"['Rampage', 'Kill Clip', 'High-Impact Reserves', 'Opening Shot', 'Rangefinder']",False,Full Auto Trigger System,4049334646.0,"['Full Auto Trigger System', 'Outlaw', 'Headseeker', 'Slideshot', 'Under Pressure']",False
